Name,Longitude,Latitude,Elevation
Mount Hope West,-81.170546,37.892909,592
Rumsey Monument State Park (historical),-77.79943297551605,39.43297682994436,
Fort Pickens Monument,-80.44453000000426,38.792879998989946,
Monumental Church,-80.17841000000655,39.53007999898035,
Rumsey Monument,-77.79916000000689,39.43287999898271,
Stonewall Jackson Monument,-77.91000000001031,39.53731999898133,
Young Monument,-80.78871000000159,38.44593999899461,
Surveyor Creek,-81.32093999999766,37.767609999004094,
Surveyor Creek,-81.27593999999802,37.72177999900476,
Surveyor Branch,-80.94314000000041,37.63705999900595,
Surveyor Branch,-80.93009000000052,37.61566999900626,
Tu-Endie-Wei Point Pleasant Battle Monument State Park,-82.14097999999125,38.83924999898945,
Government Floyd Monument,-80.24673000000543,37.626509999006174,
Surveyor,-81.3178799999977,37.76594999900412,
Fairfax Stone Historical Monument,-79.48728000001175,39.19510999898488,
Rumsey Monument State Park (historical),-77.79972000000689,39.43287999898272,
John Brown Monument,-77.72999000000408,39.32315999898418,
Surveyor Post Office,-81.3181599999977,37.76594999900411,
BONICA,-80.0052552722,39.1328421639,
D 2,-80.0516666667,39.1297222222,
E 322,-80.0544444444,39.2298055556,
F 2,-80.0594444444,39.0863888889,
FINDLEY,-79.9993245028,39.0587237917,
G 2,-80.045,39.0677777778,
H 322,-80.0547222222,39.1794444444,
J 2,-79.9980555556,39.0475,
K 2,-79.9677777778,39.0405555556,
K 322,-80.0469444444,39.1591666667,
KIRT,-79.8777895278,39.1145967806,
N 322,-79.9880555556,39.1216666667,
Q 322,-79.9863888889,39.0963888889,
R 322,-79.9869444444,39.0822222222,
RV 5 RESET 1947,-80.0755555556,39.0969444444,
S 322,-79.9758333333,39.0677777778,
TT 40 USGS 1956,-79.8778421694,39.1145276639,
TT 41 RJH USGS 1956,-80.0052755194,39.1328199417,
U 322,-79.9547222222,39.0366666667,
V 322,-79.9377777778,39.0088888889,
W 322,-79.9363888889,38.9933333333,
Y 1,-79.9619444444,39.205,
Y 322,-79.9625555556,38.9673611111,
Z 1,-80.0180555556,39.1972222222,
ZEBS,-79.9845141056,39.0124097833,
A 209,-80.8127777778,37.8952777778,
A 222,-80.9022222222,38.0802777778,
A 223,-81.0058333333,38.0702777778,
A 224,-80.9511111111,38.1686111111,
B 199,-80.9797222222,37.8338888889,
B 209,-80.8191666667,37.9069444444,
B 219,-81.0533333333,38.1277777778,
B 222,-80.8986111111,38.0736111111,
B 224,-80.9413888889,38.155,
C 199,-80.97,37.8336111111,
C 203,-81.2069444444,38.1625,
C 204,-81.0986111111,38.0988888889,
C 206,-81.0211111111,37.9941666667,
C 207,-80.9744444444,37.8733333333,
C 209,-80.8230555556,37.9127777778,
C 218,-81.1511111111,38.2225,
C 219,-81.0541666667,38.1288888889,
C 220,-81.0144444444,38.2033333333,
C 222,-80.9052777778,38.0705555556,
C 223,-80.905,38.0155555556,
C 224,-80.9269444444,38.1497222222,
D 198,-81.0713888889,37.9530555556,
D 199,-80.9611111111,37.8311111111,
D 204,-81.0902777778,38.0883333333,
D 206,-81.0213888889,37.99,
D 207,-80.9741666667,37.8761111111,
D 209,-80.8297222222,37.9208333333,
D 218,-81.1405555556,38.2119444444,
D 219,-81.0541666667,38.1275,
D 220,-81.0127777778,38.2005555556,
D 222,-80.91,38.0683333333,
D 223,-80.8847222222,38.0116666667,
D 224,-80.9125,38.1422222222,
E 199,-80.9513888889,37.8244444444,
E 206,-81.0175,37.9827777778,
E 207,-80.9719444444,37.8858333333,
E 209,-80.8252777778,37.9316666667,
E 213,-80.8038888889,37.8797222222,
E 218,-81.1236111111,38.2063888889,
E 219,-81.0458333333,38.1288888889,
E 220,-81.0122222222,38.1958333333,
E 222,-80.9186111111,38.0616666667,
E 224,-80.9108333333,38.1325,
F 198,-81.0622222222,37.9369444444,
F 206,-81.0108333333,37.9822222222,
F 207,-80.9666666667,37.8983333333,
F 209,-80.8169444444,37.9383333333,
F 213,-80.7972222222,37.8758333333,
F 218,-81.1061111111,38.2036111111,
F 220,-81.0055555556,38.1894444444,
F 222,-80.9308333333,38.0511111111,
F 224,-80.9013888889,38.1219444444,
G 206,-81.0013888889,37.9794444444,
G 209,-80.8066666667,37.9397222222,
G 213,-80.7941666667,37.8730555556,
G 218,-81.0994444444,38.1961111111,
G 220,-81.0130555556,38.1830555556,
G 222,-80.9261111111,38.0475,
G 224,-80.8894444444,38.1336111111,
G 229,-80.8788888889,38.0061111111,
G 235,-81.1908333333,38.1722222222,
GRINDSTONE,-80.9935742556,38.1627845667,
GRINDSTONE USGS 1952,-80.9935292333,38.1628771972,
H 198,-81.0508333333,37.9180555556,
H 204,-81.0644444444,38.0516666667,
H 213,-80.7836111111,37.8694444444,
H 218,-81.1022222222,38.1847222222,
H 219 RESET 1970,-81.0080555556,38.1211111111,
H 220,-81.0255555556,38.1847222222,
H 222,-80.9216666667,38.0391666667,
H 224,-80.8855555556,38.1280555556,
H 235,-81.1936111111,38.1852777778,
J 204,-81.0477777778,38.0519444444,
J 207,-80.9472222222,37.9177777778,
J 213,-80.765,37.8672222222,
J 218,-81.1016666667,38.1805555556,
J 220,-81.03,38.1716666667,
J 222,-80.9161111111,38.0305555556,
J 224,-80.8852777778,38.1161111111,
J 229,-80.8605555556,37.9883333333,
J 235,-81.1755555556,38.2041666667,
K 198,-81.0247222222,37.9116666667,
K 204,-81.0375,38.0491666667,
K 206,-80.9630555556,37.9625,
K 207,-80.9413888889,37.9230555556,
K 213,-80.7625,37.8658333333,
K 218,-81.0936111111,38.1708333333,
K 220,-81.0377777778,38.1641666667,
K 222,-80.9141666667,38.0213888889,
K 229,-80.85,37.9855555556,
K 235,-81.1758333333,38.2102777778,
L 198,-81.0511111111,37.8983333333,
L 204,-81.03,38.0394444444,
L 206,-80.9602777778,37.9652777778,
L 207,-80.9330555556,37.9263888889,
L 213,-80.7525,37.8655555556,
L 218,-81.0947222222,38.1602777778,
L 220,-81.0363888889,38.1625,
L 229,-80.8416666667,37.985,
L 235,-81.1905555556,38.2261111111,
M 198,-81.0633333333,37.8875,
M 207,-80.9147222222,37.9255555556,
M 209,-80.9019444444,37.9622222222,
M 218,-81.09,38.1583333333,
M 219,-80.9847222222,38.0833333333,
M 220,-81.0375,38.1497222222,
M 222,-80.9230555556,38.0116666667,
M 229,-80.8397222222,37.9822222222,
N 198,-81.0661111111,37.8777777778,
N 203,-81.3016666667,38.1633333333,
N 204,-81.0244444444,38.0177777778,
N 207,-80.9047222222,37.9291666667,
N 209,-80.8919444444,37.9572222222,
N 218,-81.0905555556,38.1563888889,
N 219,-80.9811111111,38.0741666667,
N 220,-81.0425,38.1455555556,
N 229,-80.8316666667,37.9794444444,
P 198,-81.0697222222,37.8688888889,
P 207,-80.9030555556,37.9288888889,
P 209,-80.88,37.9569444444,
P 218,-81.0947222222,38.1511111111,
P 220,-81.0552777778,38.1413888889,
P 222,-80.9422222222,38.0005555556,
P 229,-80.8183333333,37.9733333333,
Q 198,-81.0711111111,37.8591666667,
Q 203,-81.3061111111,38.1805555556,
Q 207,-80.8944444444,37.9222222222,
Q 209,-80.8747222222,37.9586111111,
Q 218,-81.0994444444,38.1488888889,
Q 220,-81.0605555556,38.1355555556,
Q 222,-80.9369444444,37.9913888889,
R 192,-81.0672222222,37.9630555556,
R 198,-80.9930555556,37.8316666667,
R 206,-80.9244444444,37.9675,
R 207,-80.8841666667,37.9169444444,
R 209,-80.8566666667,37.9636111111,
R 218,-81.0991666667,38.1430555556,
R 219,-80.9588888889,38.0533333333,
R 220,-81.0669444444,38.1325,
S 192,-81.0541666667,37.9602777778,
S 198,-81.0091666667,37.8311111111,
S 206,-80.92,37.9622222222,
S 207,-80.8741666667,37.9088888889,
S 209,-80.8488888889,37.9611111111,
S 219,-80.9438888889,38.0491666667,
S 221,-80.8788888889,38.1066666667,
S 222,-81.0808333333,38.0769444444,
S 223,-81.0,38.1916666667,
T 198,-81.0255555556,37.8305555556,
T 203,-81.1772222222,38.1466666667,
T 207,-80.8719444444,37.8988888889,
T 208,-80.8572222222,37.8522222222,
T 209,-80.8441666667,37.9630555556,
T 223,-80.99,38.1941666667,
U 192,-81.02,37.9652777778,
U 198,-81.0386111111,37.8341666667,
U 203,-81.1736111111,38.1319444444,
U 206,-80.9111111111,37.9444444444,
U 207,-80.8708333333,37.8927777778,
U 208,-80.8505555556,37.8663888889,
U 218,-81.1111111111,38.1191666667,
U 223,-80.9827777778,38.1947222222,
V 198,-81.0555555556,37.8363888889,
V 203,-81.1619444444,38.1363888889,
V 206,-80.9030555556,37.9391666667,
V 207,-80.8669444444,37.8811111111,
V 208,-80.8458333333,37.8705555556,
V 209,-80.7977777778,37.9655555556,
V 218,-81.1063888889,38.1294444444,
V 221,-80.8858333333,38.0913888889,
V 223,-80.9713888889,38.1958333333,
W 192,-81.0241666667,37.9766666667,
W 203,-81.1497222222,38.1308333333,
W 206,-81.0411111111,37.8538888889,
W 208,-80.8361111111,37.8761111111,
W 209,-80.8080555556,37.9672222222,
W 221,-80.8883333333,38.0822222222,
W 222,-81.0569444444,38.0633333333,
W 223,-80.9588888889,38.1961111111,
X 203,-81.1469444444,38.1172222222,
X 207,-80.8661111111,37.8711111111,
X 208,-80.8236111111,37.8772222222,
X 209,-80.8144444444,37.9716666667,
X 218,-81.0930555556,38.1333333333,
X 221,-80.8919444444,38.0766666667,
X 223,-80.9519444444,38.1983333333,
Y 198,-81.0602777778,37.8563888889,
Y 203,-81.145,38.1133333333,
Y 206,-81.0177777778,37.8572222222,
Y 207,-80.8575,37.8641666667,
Y 208,-80.8077777778,37.8802777778,
Y 209,-80.8227777778,37.9672222222,
Y 218,-81.0777777778,38.1336111111,
Y 223,-80.9497222222,38.1863888889,
Z 198,-81.0675,37.8561111111,
Z 206,-81.0061111111,37.8583333333,
Z 207,-80.8558333333,37.8608333333,
Z 208,-80.8086111111,37.8877777778,
Z 209,-80.8411111111,37.9683333333,
Z 218,-81.0725,38.1263888889,
Z 221,-80.9005555556,38.0788888889,
Z 222,-81.0197222222,38.0713888889,
Z 223,-80.9488888889,38.1794444444,
DUMPLING,-80.6339613667,38.8925839806,
DUSK,-80.7547019583,38.890755475,
FLAG KNOB,-80.8943035028,38.8811452583,
FROZEN,-80.998833175,38.7458750861,
GSC 1,-80.8291500167,38.9453443833,
HURST,-80.7265783528,39.0688210278,
LINN,-80.7474088694,38.9937310167,
LONGSHOAL,-80.6849900639,38.8912427139,
LYNN,-80.8653615833,39.0219410833,
LYNN AZIMUTH,-80.8584826389,39.0089311972,
N 8,-80.9625,38.855,
P 8,-80.9308333333,38.8597222222,
SPRING,-80.9984034333,39.0110554111,
V 8,-80.81,38.9552777778,
W 8,-80.7763888889,38.9594444444,
Y 8,-80.7213888889,38.9961111111,
BEAMS,-79.1377315722,38.9915418139,
BORROR,-79.1770498444,38.8743024306,
FAN MARKER PETERSBURG 1956,-79.1378291056,38.9914702667,
FORE,-79.2464475528,39.1247813778,
GAP,-79.2486265944,38.9993261583,
J 31,-79.3975694444,39.2539166667,
K 31,-79.4633333333,39.2066666667,
L 77,-79.2802777778,39.2752777778,
LUNICE,-79.1353128167,39.1210686028,
M 77,-79.3136111111,39.2761111111,
N 77,-79.33,39.2958333333,
NORTH FORK,-79.2724589361,38.9363849194,
UNION,-79.1770893194,39.2725202611,
W99 A,-79.1500903972,38.9967169444,
WATERFALL,-79.1176436,38.8818819,
Z 76,-79.115,39.0566666667,
A 210,-80.7805555556,37.9677777778,
A 214,-80.7158333333,37.8388888889,
A 215,-80.6686111111,37.9861111111,
A 230,-80.5877777778,37.8477777778,
A 233,-80.5986111111,37.945,
A 234,-80.7077777778,38.0772222222,
A 237,-80.8605555556,38.0752777778,
A 239,-80.5213888889,38.1930555556,
A 243,-80.4063888889,38.2336111111,
